Tweet index	Label	Tweet text
1	1	sweet united nations video time christmas #imagine #noreligion httptcofejvoubr
2	1	mrdahl rumored talked ervs agent angels asked ed escobar thats hardly nothing
3	1	hey nice see minnesotand winter weather
4	0	episodes left im dying
5	1	cant breathe chosen notable quote year annual list released yale university librarian
6	0	youre never old footie pajamas httptcoelzgqsxyq
7	1	nothing makes happier getting highway seeing break lights light like christmas tree
8	0	opening first beer gonna long nightday
9	0	adamklug think would support guy knocked daughter rice doesnt deserve support
10	0	samcguigan allowed open christmas day
11	1	oh thank god entire office email system day big event santa know get xmas
12	0	instead im scrolling facebook instagram twitter hours end accomplishing nothing
13	0	targetzonept :pouting_face: bloody isnt upstairs getting changed
14	0	cold warmth suffuse ones cheeks pink colourtone understand underlying difference texture
15	1	great youre mobile bill arrives text
16	1	crushes great realize theyll never interested p
17	1	buffalo sports media smarter us else get quality insight offered harrington busgaglia
18	0	guess cat also lost pounds went vet ive feeding times day #eating #food #workingout
19	1	yankeeswfan kenrosenthal trading sp defenseonly ss brilliant trade
20	1	darklightdave trying find us battery died guess found us yes bastard wand
21	1	deputymartinski please doi need second hand embarrassment desperatly phone
22	0	never cared beyonce bc could never get sense interviews lacked depth azealiabanks thothis girl got
23	1	ywtorres time hit books
24	0	rushordertees thxflw flwthemusic elektrikeventz elektrikmetro r #elektrikbloom #elektrikfantasy #iwantdrift #elevtheunderground
25	1	love cold winter mornings :grimacing_face: best feeling everrrrrrr
26	0	amazingly httptconeiozunbld owned #bhp going shell decent money #bhpbilliton #south
27	0	wish could told nicolescherzy #nicolescherzinger #onelove #myfav #myqueen :red_heart: :red_heart: httptcoquelfqyr
28	0	rain made extra extra lazy :grinning_face_with_sweat:
29	0	great summary year got june th weekend hartswormx birthday #rivertrip #groupchat
30	0	see might show background check youd denied catch right self protection serpentina
31	1	smh never knew something could halalbeen muslim whole life somehow ive learned something new guess
32	1	wonderful day starting work
33	0	feel like whole life waiting waiting waiting
34	0	pureplaya lol :beaming_face_with_smiling_eyes: let kids know get morning thanks tip
35	1	redsox guys sure screwed royally im happy lester brain trust sucks #nicejob #lestertochicago
36	0	#aussie #gunman #was #on terrorist #watch #list pm #says sydney – gunman took hostages sydney httptcoibnxdptuw
37	1	twig sprig — sec limit new social video platform #techtalk #editorspick #sillyvine #tr httpstcodmkcxpyzq
38	0	heelteacher achieve seriouslyto firedall guys balls call gone
39	1	yay another work day :neutral_face:
40	1	physical therapy want friday #iwanttosleep
41	1	omg floptimuscrime didnt tell giantfootyguy town :face_screaming_in_fear: #truefriend
42	1	thought real could fine coz im fine oh wait fixed caps lock #laughnow
43	1	hahahaha #hypocrisy mt independent katie hopkins calls russell brand bully httptcodzxhiuwl
44	1	moment much stuff open tumblr #productivity #tumblr
45	0	lol enjoying :two_women_holding_hands: #talks #crazyness #sheneverleft sleepy :smiling_face:
46	1	luv
47	1	naturopaths sell aromatic herbs way apothecaries sell noxious poisons #naturopath #apothecary #herb #poison
48	0	dixiessixty goal season goal jon sammels #arsenal vs #manutd httpstcowpbptdt lloydgallagher bigtant
49	0	really else fish besides fish rbrnetwork theoldbreed indyenigma diverdown
50	0	malesurvivor think safe bet wont fit crime
51	1	impossible late start dress right #studing #university #lazy
52	1	youre already running late car wont start #fantasticfriday
53	1	decided become boss free time time left whatsoever
54	0	loyalty vs self protection loyalty vs self protection loyalty vs self protection loyalty vs self protection
55	0	american kids starting playing im super missing #summerk #kennychesney
