Tweet index	Label	Tweet text
1	1	sweet united nations video te christmas #agine #noreligion httptcofejvoubr
2	1	mrdahl rumored talked ervs agent angels asked ed escobar thats hardly nothing
3	1	hey nice see minnesotand winter weather
4	0	episodes left  dying
5	1	cant breathe chosen notable quote year annual list released yale university librarian
6	0	youre never old footie pajamas httptcoelzgqsxyq
7	1	nothing makes happier getting highway seeing break lights light like christmas tree
8	0	opening first beer gonna long night
9	0	adamklug think would support guy knocked daughter rice doesnt deserve support
10	0	samcguigan allowed open christmas 
11	1	 thank god entire office email system  big event santa know get xmas
12	0	instead  scrolling facebook instagram twitter hours end accomplishing nothing
13	0	targetzonept :pouting_face: bloody isnt upstairs getting changed
14	0	cold warmth suffuse ones cheeks pink colourtone understand underlying difference texture
15	1	 youre mobile bill arrives text
16	1	crushes  realize theyll never interested p
17	1	buffalo sports media smarter us else get quality insight offered harrington busgaglia
18	0	guess cat also lost pounds went vet ive feeding tes  #eating #food #ingout
19	1	yankeeswfan kenrosenthal trading sp defenseonly ss brilliant trade
20	1	darklightdave trying find us battery died guess found us yes bastard wand
21	1	deputymartinski please doi need second hand embarrassment desperatly phone
22	0	never cared beyonce bc could never get sense interviews lacked depth azealiabanks thothis girl got
23	1	ywtorres te hit books
24	0	rushordertees thxflw flwthemusic elektrikeventz elektrikmetro r #elektrikbloom #elektrikfantasy #iwantdrift #elevtheunderground
25	1	 cold winter s :gracing_face: best feeling everrrrrrr
26	0	amazingly httptconeiozunbld owned #bhp going shell decent money #bhpbilliton #south
27	0	wish could told nicolescherzy #nicolescherzinger #one #myfav #myqueen :red_heart: :red_heart: httptcoquelfqyr
28	0	rain made extra extra lazy :grinning_face_with_sweat:
29	0	 summary year got june th weekend hartswormx birth #rivertrip #groupchat
30	0	see might show background check youd denied catch right self protection serpentina
31	1	smh never knew something could halalbeen musl whole life somehow ive learned something new guess
32	1	wonderful  ing 
33	0	feel like whole life waiting waiting waiting
34	0	pureplaya lol :beaming_face_with_smiling_eyes: let kids know get   tip
35	1	redsox guys sure screwed royally  happy lester brain trust sucks #nicejob #lestertochicago
36	0	#aussie #gunman #was #on terrorist #watch #list pm #says sydney – gunman took hostages sydney httptcoibnxdptuw
37	1	twig sprig — sec lit new social video platform #techtalk #editorspick #sillyvine #tr httpstcodmkcxpyzq
38	0	heelteacher achieve seriouslyto firedall guys balls call gone
39	1	 another   :neutral_face:
40	1	physical therapy want fri #iwanttosleep
41	1	omg floptuscre didnt tell giantfootyguy town :face_screaming_in_fear: #truefriend
42	1	thought real could fine coz  fine  wait fixed caps lock #laughnow
43	1	hahahaha #hypocrisy mt independent katie hopkins calls russell brand bully httptcodzxhiuwl
44	1	moment much stuff open tumblr #productivity #tumblr
45	0	lol enjoying :two_women_holding_hands: #talks #crazyness #sheneverleft sleepy :smiling_face:
46	1	luv
47	1	naturopaths sell aromatic herbs way apothecaries sell noxious poisons #naturopath #apothecary #herb #poison
48	0	dixiessixty goal season goal jon sammels #arsenal vs #manutd httpstcowpbptdt lloydgallagher bigtant
49	0	 else fish besides fish rbrnet theoldbreed indyenigma diverdown
50	0	malesurvivor think safe bet wont fit cre
51	1	possible late  dress right #studing #university #lazy
52	1	youre already running late car wont  #fantasticfri
53	1	decided become boss free te te left whatsoever
54	0	loyalty vs self protection loyalty vs self protection loyalty vs self protection loyalty vs self protection
55	0	american kids ing playing  super missing #summerk #kennychesney
56	0	corporateknight dont know #monsanto among sustainable cos world sure parameters measured #net positive
57	0	none big disruptive innovations lives come brainstorming bruce nussbaum httptcoituczpusb
58	0	way  get understand disabilities stare us ny wen #idpwd #disability
59	1	theocorleone davidmaclellan shit better shut stupid girly mouth  concerned men might think
60	0	tongue feel necessary try touch high speed tool dentist put mouth
61	0	tell #quintessential #aussie isnt govt paid job hyde buy overseas online pay gst mmm #sadbuttrue
62	0	parlett dirks got lot moves  trying steal kevin durant onelegged fadeway
63	1	yr get little nutty reach orange marmalade #livingontheedge httptcosfoowev
64	1	rogers smile accurately captures reaction receive extra high phone bill httptcovfpehxyl
65	1	whatever happened guano apes ever make big japan
66	0	bmw sexy az hell slow dinero quarter mile slow #fan design feeling httptcodelfxnbpi
67	0	let humility guard pride vanity shouldnt allowed delicate thing
68	0	whenever get sad things going think awesome future looks #secondsemester #drumcorps #college
69	1	asked god protect enemies shortly ed losing friends :flushed_face: :hundred_points: #naah
70	1	delivered dominiqueansel #cronuts bouchonbakeryrc hmmm customer hope httptcokdxfhvqcw
71	1	still #praiseh
72	0	hey heyyiwanna rockstar #vscocam hero #vsocam #hero #spiderman httptcotuskhvybj
73	1	maggielindemann xsamsecrets awk moment tweeted first #fakefan
74	0	waa mockingjay part tahon depan meh nov wtvr night museum #mustwatchbdecemberendssobssobs httptcoracxdsz
75	1	ambcontrol houseofcommons edmiliband nickclegg davidcameron nice see ambulance service portant mps
76	1	 finals week #justkidding #stressed
77	0	gracewoods fucking copycat although youre name mint act share probably cause alcol filled celebration
78	0	literally cried woke know  store #theoftechweek ready #justshootmeknow
79	0	rashawnfranklin disagree w trading three picks one glaring holes numerous positions assbackwards
80	1	nypost camerongray  makes better
81	0	didnt  watching tudors earlier #iit
82	0	guntrust httptcoicpdcaonq #christmas #gift get ed making money social media httpstcocpjzkegne
83	0	dont knw react everyte sum says wheelchair inspires  living dude
84	0	get aht tahnthe made pgh gift guide httpstcozitwyuzna  getfitpgh
85	0	lunch break sleepy :sleeping_face:
86	1	# #trains #thegrind #london #business #myhappyface httptcofdeiqpuqz
87	1	dude said better think hard take cheddars lmao
88	0	#christmas ritualpart one #howthegrinchstolechristmas httptcoyijtihmsm
89	0	overcast creso #toloving #beachwalk #crescenthead httptcodaekdajbg
90	0	cant end fast enough stupid dead battery
91	1	even already see going wonderful  #needmorecoffee
92	1	idea operators dont ever describe raceand police wear color blind glasses
93	1	bustedcoverage russell  christian fella wouldnt
94	0	apparently youth group thinks kidding default expressionor nomal face #areyoukiddingme httptcodbarsxxta
95	1	jaymr #psa hey jay tuned u said cocaine talk toafter tweeting coke joke saw escobars th
96	0	interviewed turkey heres say httptcoftstaota #giving
97	1	planned early night last night  yaa course happened #gotinterupted
98	1	maggiewinter last retweet though
99	1	v sd matches 
100	1	ee bein short sweatpants go way feet  :pile_of_poo:
101	1	 waking satur  going bed midnight
102	1	 ruled twitter got followed sarcasmia wht  lollllll
103	0	jusuf nurkic #bulls rt jonathantjarks clearly lot talent kind amazing denver got gary harris mcdermott
104	0	dont even progress thesis tas preparations event thurs :weary_face:
105	1	gym gonna reeeaaalll nice date tomorrow #goingtostruggle #vsfs
106	0	sony pulled movie bc scared country cant even keep lights night even motel better #zing
107	0	nice hour nap picking chinese takeout set watch #guardiansofthegalaxy myzzcryz added water chestnuts dinner
108	0	jepischke djdurkin bears probably worst franchise football moment
109	1	 pissed chicago like  airport ruined many s chances ever meeting boys :expressionless_face: :expressionless_face: :expressionless_face: way go
110	0	hell frozen literally #texas
111	1	write name paper take picture —  busy answering question  httptcrysvylpbi
112	0	marshmallow world winter :musical_notes: #getthisoutofmyhead
113	1	taking bike rainy cold dark streets dentist yaaaay #somuch
114	1	reading barack obama barack #obama plaza #moneygall  httptcosqcieturpr
115	0	face tired man hahahahah
116	1	want turkey
117	0	winelibrarian happy small service casecleveland bradword
118	0	choose words carefully hurting someone feelings right way go
119	1	joke  detailed response communication customers askplaystation playstation
120	0	mammadfarooq asalamoalekum :grinning_face_with_big_eyes: kesay mizaj thank much posted nd december already :smiling_face_with_halo:
